MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
232029847,2023-02-23T01:56:18,33.43557,-78.60895,6.3,224.7,228
232029847,2023-02-23T01:57:48,33.43377,-78.61107,6.3,223,227.3042533
232029847,2023-02-23T01:59:18,33.43195,-78.61317,6.3,228.4,228
232029847,2023-02-23T02:00:19,33.43075,-78.61465,6.3,224,227
232029847,2023-02-23T02:01:24,33.42947,-78.61613,6.3,223.8,226
232029847,2023-02-23T02:02:25,33.42828,-78.61758,6.3,226.4,226
232029847,2023-02-23T02:03:55,33.42648,-78.6197,5.5,226.6,229
232029847,2023-02-23T02:04:57,33.4253,-78.62107,6.3,225.5,228
232029847,2023-02-23T02:06:27,33.42353,-78.62308,6.3,226.3,227
232029847,2023-02-23T02:07:28,33.42235,-78.62447,6.3,227.4,226.3020662
232029847,2023-02-23T02:08:30,33.4211,-78.62588,6.3,222,226
232029847,2023-02-23T02:09:32,33.41992,-78.6273,5.5,230.3,230
232029847,2023-02-23T02:10:33,33.41872,-78.62863,6.3,226.6,228
232029847,2023-02-23T02:11:35,33.4175,-78.63005,6.3,225.8,230
232029847,2023-02-23T02:12:38,33.41622,-78.63148,6.3,221.1,225
232029847,2023-02-23T02:13:39,33.41503,-78.63293,6.3,228,227
232029847,2023-02-23T02:15:10,33.4133,-78.635,7.083705358,223.5702977,228
232029847,2023-02-23T02:16:11,33.41213,-78.63638,6.3,223.2,227
232029847,2023-02-23T02:17:41,33.41038,-78.63843,6.3,225.3,225
232029847,2023-02-23T02:18:44,33.4092,-78.63983,4.994623045,226.1,227
232029847,2023-02-23T02:19:46,33.408,-78.64125,6.3,218,225
232029847,2023-02-23T02:20:47,33.40682,-78.64265,6.3,223.1,227
232029847,2023-02-23T02:22:18,33.40507,-78.64475,6.3,219.3,223
232029847,2023-02-23T02:23:21,33.40383,-78.64615,6.3,228.9,228
232029847,2023-02-23T02:24:50,33.40212,-78.64822,6.3,226.6,228
232029847,2023-02-23T02:25:53,33.40098,-78.64962,5.5,230.4,232
232029847,2023-02-23T02:27:25,33.39923,-78.65162,6.3,217.7,226
232029847,2023-02-23T02:28:26,33.39802,-78.653,6.3,222.8,227
232029847,2023-02-23T02:29:57,33.39635,-78.65498,6.3,219.2,227
232029847,2023-02-23T02:30:58,33.39518,-78.65633,5.5,224.7,226
232029847,2023-02-23T02:32:30,33.39338,-78.65843,6.3,221.8,226
232029847,2023-02-23T02:34:03,33.39162,-78.6605,6.3,224.5,227
232029847,2023-02-23T02:35:33,33.38992,-78.66247,7.1,223.5,226
232029847,2023-02-23T02:36:34,33.38875,-78.66375,5.5,221.1,225
232029847,2023-02-23T02:37:36,33.3876,-78.6651,5.5,226.3,226
232029847,2023-02-23T02:39:06,33.38585,-78.66703,5.5,217,227
232029847,2023-02-23T02:40:08,33.38468,-78.66838,6.3,222.7,227
232029847,2023-02-23T02:41:41,33.3829,-78.6704,6.3,227.3,227
232029847,2023-02-23T02:43:14,33.38112,-78.67245,6.3,217.6,225
232029847,2023-02-23T02:44:44,33.3794,-78.6744,6.3,220.1,227
232029847,2023-02-23T02:46:16,33.37762,-78.67643,6.3,223.6,227
232029847,2023-02-23T02:47:47,33.37585,-78.67845,5.5,223.5,227
232029847,2023-02-23T02:48:49,33.37468,-78.67982,6.3,222.1,228.3427182
232029847,2023-02-23T02:49:50,33.37355,-78.68112,5.5,222.4,227
232029847,2023-02-23T02:51:20,33.37177,-78.68307,6.3,219.9,226
232029847,2023-02-23T02:52:25,33.37052,-78.68445,7.785103225,222.6,226
232029847,2023-02-23T02:53:26,33.36932,-78.68577,6.3,227.3,228
232029847,2023-02-23T02:54:56,33.36758,-78.6877,5.5,220.6,226
232029847,2023-02-23T02:55:59,33.36632,-78.6891,6.3,221.6,226
232029847,2023-02-23T02:57:28,33.36462,-78.691,6.3,217.6,224
232029847,2023-02-23T02:58:59,33.36278,-78.69307,6.3,222.7,226
232029847,2023-02-23T03:00:00,33.36162,-78.69442,6.3,225.8,229
232029847,2023-02-23T03:02:02,33.35925,-78.69705,6.3,223.1,227
232029847,2023-02-23T03:03:03,33.35808,-78.69838,6.3,223.8,229
232029847,2023-02-23T03:04:33,33.35623,-78.7004,6.3,226.3,228
232029847,2023-02-23T03:05:34,33.35508,-78.70173,6.3,226,229
232029847,2023-02-23T03:06:36,33.35382,-78.70312,6.3,224.1,226
232029847,2023-02-23T03:08:07,33.35205,-78.7051,6.3,222.9,227
232029847,2023-02-23T03:09:39,33.35017,-78.7072,5.5,220.2,226
232029847,2023-02-23T03:11:12,33.34835,-78.70918,6.3,223.8,227
232029847,2023-02-23T03:12:45,33.34647,-78.71122,6.3,225.8,229
232029847,2023-02-23T03:14:44,33.34408,-78.7138,6.3,221.8,227
232029847,2023-02-23T03:15:45,33.34282,-78.71513,5.5,225.8,228
232029847,2023-02-23T03:17:48,33.3403,-78.7178,6.3,220.1,224
